Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,187.25,190.70,187.01,190.01,11249600,190.01
2014-04-16,198.05,198.71,195.00,196.40,8527300,196.40
2014-04-15,195.98,197.41,195.42,197.02,5351300,197.02
2014-04-14,196.24,198.24,195.88,197.77,5431100,197.77
2014-04-11,195.04,197.00,194.27,195.19,4835000,195.19
2014-04-10,196.06,199.21,195.66,195.68,8417900,195.68
2014-04-09,193.88,197.00,193.60,196.64,5480100,196.64
2014-04-08,193.89,194.17,192.69,193.29,5125000,193.29
2014-04-07,191.72,195.31,191.57,194.52,6740500,194.52
2014-04-04,193.12,193.97,191.28,191.77,6089900,191.77
2014-04-03,193.20,193.38,192.35,192.69,4091100,192.69
2014-04-02,194.24,194.50,192.49,193.55,4924100,193.55
2014-04-01,193.12,195.13,192.78,194.50,5394100,194.50
2014-03-31,191.64,193.77,191.40,192.49,8537300,192.49
2014-03-28,189.94,192.62,189.11,190.45,5194400,190.45
2014-03-27,191.91,192.67,189.32,189.83,6767700,189.83
2014-03-26,194.98,195.63,191.96,192.62,6851700,192.62
2014-03-25,188.76,195.40,188.70,195.04,10912700,195.04
2014-03-24,187.43,189.44,187.37,188.25,5738500,188.25
2014-03-21,188.50,188.70,186.40,186.67,12535200,186.67
2014-03-20,184.47,188.26,184.17,187.90,5062600,187.90
2014-03-19,185.60,186.70,183.50,184.71,4323900,184.71
2014-03-18,185.99,187.90,185.54,186.81,3961300,186.81
2014-03-17,182.66,186.35,182.66,185.81,4938100,185.81
2014-03-14,183.89,184.29,182.21,182.21,5490300,182.21
2014-03-13,186.41,187.00,183.71,183.90,4913200,183.90
2014-03-12,186.01,187.45,185.89,186.22,4833000,186.22
2014-03-11,187.41,188.45,186.04,186.76,4229500,186.76
2014-03-10,187.55,188.37,185.85,186.39,4591200,186.39
2014-03-07,188.35,188.92,187.18,187.68,4117800,187.68
2014-03-06,187.37,188.39,186.90,187.64,3817300,187.64
2014-03-05,186.57,187.95,186.40,187.14,3485200,187.14
2014-03-04,185.81,187.16,185.68,186.44,4733000,186.44
2014-03-03,183.33,184.64,182.82,184.26,3950100,184.26
2014-02-28,185.38,186.12,183.65,185.17,4667900,185.17
2014-02-27,183.83,185.95,183.81,185.27,3827800,185.27
2014-02-26,183.94,185.28,183.56,184.06,3740700,184.06
2014-02-25,183.52,184.60,182.88,183.23,3902300,183.23
2014-02-24,182.82,185.16,182.82,183.45,4595300,183.45
2014-02-21,184.25,185.71,182.62,182.79,5699300,182.79
2014-02-20,182.96,184.86,182.79,184.26,4968200,184.26
2014-02-19,182.74,185.65,182.41,182.95,4671500,182.95
2014-02-18,183.18,184.00,182.32,183.19,4435200,183.19
2014-02-14,181.26,184.43,180.99,183.69,4659900,183.69
2014-02-13,178.22,182.36,177.86,181.84,4482000,181.84
2014-02-12,179.52,181.25,179.26,180.24,3983000,180.24
2014-02-11,176.81,180.39,176.80,179.70,4647300,179.70
2014-02-10,176.97,177.65,176.25,177.14,3540400,177.14
2014-02-07,175.64,177.56,175.07,177.25,4692900,177.25
2014-02-06,173.97,174.85,173.79,174.67,4292200,174.67
2014-02-05,172.19,174.97,172.19,174.24,4712300,173.29
2014-02-04,173.53,173.75,172.36,172.84,4349800,171.90
2014-02-03,176.02,176.02,172.72,172.90,7186800,171.96
2014-01-31,176.11,177.84,175.34,176.68,5193400,175.72
2014-01-30,177.17,177.86,176.36,177.36,4853700,176.39
2014-01-29,175.98,178.53,175.89,176.40,4970900,175.44
2014-01-28,178.05,178.45,176.16,176.85,5333300,175.89
2014-01-27,179.61,179.65,177.66,177.90,5208600,176.93
2014-01-24,181.25,182.81,179.64,179.64,6890600,178.66
2014-01-23,181.43,183.72,180.71,182.73,6973900,181.73
2014-01-22,181.28,183.50,179.67,182.25,13796100,181.26
2014-01-21,190.23,190.39,186.79,188.43,11076300,187.40
2014-01-17,188.04,190.81,187.86,190.09,7644600,189.05
